Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-07-14,119.0064,120.7782,118.9863,120.7782,448087.67198053
2020-07-15,121.9074,123.2439,121.0356,122.7291,552269.60623787
2020-07-16,122.4321,123.1545,121.9173,122.9172,318419.6036397
2020-07-17,123.5802,124.9668,123.105,124.2936,773714.4242345
2020-07-20,124.1841,127.4115,124.1841,127.0554,816571.45316313
2020-07-21,126.4611,127.5903,125.2833,126.7782,964650.831636
2020-07-22,128.7084,130.9356,127.293,129.7581,1272815.7789713
2020-07-23,129.8574,131.1243,126.7683,127.164,969569.0666189
2020-07-24,127.0455,127.1439,124.8669,126.333,928803.97949547
2020-07-27,126.4611,126.9561,125.9064,126.303,984448.0153348
2020-07-28,125.352,125.7486,123.2838,124.0164,728134.133545
2020-07-29,124.5999,127.2834,124.3719,126.7782,818431.06922463
2020-07-30,125.4018,126.1542,124.5015,125.6889,570852.6353978
2020-07-31,126.471,127.1046,124.8372,127.0656,632322.9968443
2020-08-03,127.5801,128.0952,125.7387,126.1341,525943.05902927
2020-08-04,126.303,126.5409,124.6296,125.4912,483301.18394153
2020-08-05,126.0858,126.2535,124.8573,126.1443,600025.67802267
2020-08-06,125.5707,127.0155,125.2932,126.471,608554.05304023
2020-08-07,125.6292,128.5803,125.4018,128.5701,751923.27958763
2020-08-10,129.1833,129.1833,126.342,127.2732,765805.2478295
2020-08-11,127.7382,128.0058,125.9064,126.2535,607384.34342633
2020-08-12,126.9165,128.7483,126.0258,126.2037,1091266.3417271
2020-08-13,125.7984,126.5409,124.8669,126.0657,958045.7097315
2020-08-14,125.8569,126.4014,124.5411,125.0562,701065.15406847
2020-08-17,125.1738,126.5706,124.8273,126.0942,867134.62599897
2020-08-18,126.0759,126.5805,125.1345,125.8371,597538.7824532
2020-08-19,126.5904,126.7884,125.1144,125.6592,605349.97800107
2020-08-20,125.2539,127.2135,125.2539,126.2436,535266.392135
2020-08-21,126.1641,126.4314,125.0562,125.709,495936.67406287
2020-08-24,126.0759,127.431,125.481,127.3227,715547.12879623
2020-08-25,127.3914,127.7781,125.5407,125.8869,513372.21607137
2020-08-26,126.1938,129.2529,125.9958,128.2434,667440.548172
2020-08-27,128.7384,128.9559,127.5606,127.5903,525574.36817513
2020-08-28,128.3226,128.3226,127.1739,127.5801,442639.1282349
2020-08-31,128.2332,130.7478,127.8663,130.0749,1428216.4487064
2020-09-01,130.2828,130.4805,128.9655,130.4604,525692.55127083
2020-09-02,130.9455,133.4799,130.6392,132.837,786523.65360763
2020-09-03,133.3518,133.3518,127.629,128.9361,870572.03689377
2020-09-04,129.7581,129.7974,124.4316,126.0759,767616.37851843
2020-09-08,124.6395,125.2737,122.0853,122.3325,1013477.6220657
2020-09-09,124.0749,125.709,122.8974,125.0061,676687.11277117
2020-09-10,125.3424,125.3424,121.1451,121.3329,832165.56112483
2020-09-11,122.4519,123.1644,121.1652,122.0853,568196.04102427
2020-09-14,122.6001,124.4715,122.6001,123.3522,819544.2125705
2020-09-15,124.3524,125.1738,123.6495,124.4814,385168.81002773
2020-09-16,124.4316,126.1341,123.5013,123.6594,558026.2341219
2020-09-17,121.8279,121.8279,120.0459,120.8775,895272.3038965
2020-09-18,121.4223,121.8777,118.2939,118.9377,1277104.7142224
2020-09-21,116.8584,119.3034,116.2641,118.551,936791.94463093
2020-09-22,118.6107,119.8083,116.8089,119.7786,846497.02917517
2020-09-23,120.1749,120.1749,116.1756,116.3037,617088.48872933
2020-09-24,116.1459,118.7589,115.8288,117.8286,603392.38108243
2020-09-25,117.729,120.5607,117.2241,120.4821,540605.84379233
2020-09-28,122.2341,122.7096,120.4326,121.7682,863244.68495997
2020-09-29,121.7295,122.7291,114.6216,117.8982,2738078.0826782
2020-09-30,118.581,120.858,117.8286,119.1951,2034572.4981889
2020-10-01,120.3927,121.0068,119.343,120.3726,1150287.1817454
2020-10-02,119.1453,121.095,118.7487,119.9961,735789.77185577
2020-10-05,120.6402,121.4124,119.1852,121.293,669920.372958
2020-10-06,121.4124,122.1747,119.5506,120.0261,788780.24365733
2020-10-07,119.8383,121.2246,118.6704,119.4423,896049.07996997
2020-10-08,120.1947,121.3128,119.7786,121.0257,648600.95058203
2020-10-09,122.3922,122.7192,121.1451,121.482,421346.978881
2020-10-12,122.1948,123.6795,121.6599,122.7492,435706.73006537
2020-10-13,123.234,123.303,121.7493,122.7492,645269.6014398
2020-10-14,123.6594,124.5999,123.3723,124.0065,578682.01296043
2020-10-15,122.8674,124.7589,122.5215,124.7289,422163.14931973
2020-10-16,124.9668,126.1743,124.2243,125.1546,748989.9145455
2020-10-19,125.9865,126.3717,123.7488,123.8376,913024.0109388
2020-10-20,123.8673,127.3227,123.8673,125.2737,910967.42305113
2020-10-21,126.7383,130.203,124.3422,128.5701,1138565.84292
2020-10-22,129.3525,129.3525,126.2535,126.3621,620062.25824867
